@relation 'adult randomized-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-R2,5,7'

@attribute ﻿age {'\'(-inf-21.5]\'','\'(21.5-23.5]\'','\'(23.5-27.5]\'','\'(27.5-29.5]\'','\'(29.5-35.5]\'','\'(35.5-43.5]\'','\'(43.5-54.5]\'','\'(54.5-61.5]\'','\'(61.5-inf)\''}
@attribute education {' College',' Higher Education',' pre-HS'}
@attribute 'marital status' {' Never-married',' Married',' Seperated or Widowed'}
@attribute sex {' Male',' Female'}
@attribute result {' <=50K',' >50K'}

@data
'\'(23.5-27.5]\'',' College',' Married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(23.5-27.5]\'',' College',' Married',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Married',' Female',' >50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' <=50K'
'\'(61.5-inf)\'',' College',' Married',' Male',' <=50K'
'\'(27.5-29.5]\'',' College',' Married',' Male',' <=50K'
'\'(35.5-43.5]\'',' Higher Education',' Seperated or Widowed',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' >50K'
'\'(54.5-61.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(23.5-27.5]\'',' College',' Married',' Male',' <=50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(23.5-27.5]\'',' College',' Married',' Female',' >50K'
'\'(35.5-43.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(-inf-21.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(29.5-35.5]\'',' pre-HS',' Never-married',' Female',' <=50K'
'\'(23.5-27.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(54.5-61.5]\'',' Higher Education',' Married',' Male',' >50K'
'\'(29.5-35.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(29.5-35.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(-inf-21.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Female',' >50K'
'\'(43.5-54.5]\'',' College',' Married',' Female',' >50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Female',' <=50K'
'\'(35.5-43.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(54.5-61.5]\'',' Higher Education',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' Higher Education',' Never-married',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(23.5-27.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(61.5-inf)\'',' College',' Married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' >50K'
'\'(43.5-54.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' <=50K'
'\'(61.5-inf)\'',' College',' Married',' Male',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(35.5-43.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(35.5-43.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(27.5-29.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(23.5-27.5]\'',' pre-HS',' Married',' Male',' <=50K'
'\'(35.5-43.5]\'',' Higher Education',' Married',' Male',' >50K'
'\'(27.5-29.5]\'',' College',' Never-married',' Male',' >50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(61.5-inf)\'',' Higher Education',' Seperated or Widowed',' Male',' <=50K'
'\'(23.5-27.5]\'',' College',' Married',' Female',' <=50K'
'\'(29.5-35.5]\'',' pre-HS',' Seperated or Widowed',' Male',' <=50K'
'\'(61.5-inf)\'',' College',' Married',' Male',' <=50K'
'\'(-inf-21.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(23.5-27.5]\'',' Higher Education',' Never-married',' Male',' <=50K'
'\'(21.5-23.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Female',' >50K'
'\'(43.5-54.5]\'',' pre-HS',' Married',' Male',' >50K'
'\'(54.5-61.5]\'',' College',' Married',' Male',' >50K'
'\'(29.5-35.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(-inf-21.5]\'',' College',' Married',' Female',' <=50K'
'\'(29.5-35.5]\'',' pre-HS',' Never-married',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Female',' >50K'
'\'(43.5-54.5]\'',' pre-HS',' Married',' Female',' <=50K'
'\'(54.5-61.5]\'',' College',' Married',' Female',' <=50K'
'\'(35.5-43.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(61.5-inf)\'',' College',' Married',' Male',' >50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' <=50K'
'\'(61.5-inf)\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(27.5-29.5]\'',' College',' Married',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' >50K'
'\'(29.5-35.5]\'',' Higher Education',' Married',' Male',' >50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(54.5-61.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(29.5-35.5]\'',' pre-HS',' Never-married',' Female',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' College',' Never-married',' Male',' >50K'
'\'(54.5-61.5]\'',' College',' Married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(27.5-29.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(43.5-54.5]\'',' Higher Education',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(43.5-54.5]\'',' Higher Education',' Seperated or Widowed',' Female',' >50K'
'\'(54.5-61.5]\'',' pre-HS',' Seperated or Widowed',' Male',' <=50K'
'\'(54.5-61.5]\'',' College',' Married',' Male',' <=50K'
'\'(54.5-61.5]\'',' College',' Married',' Male',' <=50K'
'\'(27.5-29.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(-inf-21.5]\'',' pre-HS',' Never-married',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' <=50K'
'\'(27.5-29.5]\'',' College',' Married',' Male',' >50K'
'\'(27.5-29.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(-inf-21.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(61.5-inf)\'',' Higher Education',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Never-married',' Male',' >50K'
'\'(29.5-35.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(29.5-35.5]\'',' College',' Never-married',' Female',' >50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' College',' Married',' Female',' >50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(29.5-35.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(54.5-61.5]\'',' College',' Married',' Male',' <=50K'
'\'(35.5-43.5]\'',' pre-HS',' Married',' Male',' >50K'
'\'(29.5-35.5]\'',' pre-HS',' Seperated or Widowed',' Female',' <=50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(29.5-35.5]\'',' College',' Seperated or Widowed',' Male',' >50K'
'\'(-inf-21.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' >50K'
'\'(43.5-54.5]\'',' Higher Education',' Married',' Female',' >50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(61.5-inf)\'',' Higher Education',' Seperated or Widowed',' Male',' <=50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(23.5-27.5]\'',' pre-HS',' Seperated or Widowed',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(61.5-inf)\'',' Higher Education',' Seperated or Widowed',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Female',' >50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(-inf-21.5]\'',' pre-HS',' Never-married',' Female',' <=50K'
'\'(35.5-43.5]\'',' Higher Education',' Married',' Male',' <=50K'
'\'(54.5-61.5]\'',' College',' Married',' Male',' >50K'
'\'(54.5-61.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Female',' <=50K'
'\'(35.5-43.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(43.5-54.5]\'',' Higher Education',' Married',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(23.5-27.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(61.5-inf)\'',' College',' Married',' Male',' >50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' <=50K'
'\'(54.5-61.5]\'',' College',' Married',' Male',' <=50K'
'\'(27.5-29.5]\'',' College',' Married',' Female',' <=50K'
'\'(61.5-inf)\'',' College',' Never-married',' Male',' <=50K'
'\'(43.5-54.5]\'',' pre-HS',' Married',' Male',' <=50K'
'\'(61.5-inf)\'',' Higher Education',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Female',' >50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(21.5-23.5]\'',' College',' Married',' Female',' <=50K'
'\'(35.5-43.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(27.5-29.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(61.5-inf)\'',' pre-HS',' Married',' Male',' <=50K'
'\'(27.5-29.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(23.5-27.5]\'',' College',' Married',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' Higher Education',' Married',' Male',' >50K'
'\'(43.5-54.5]\'',' Higher Education',' Married',' Male',' >50K'
'\'(21.5-23.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(54.5-61.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(23.5-27.5]\'',' College',' Married',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(23.5-27.5]\'',' College',' Married',' Male',' <=50K'
'\'(29.5-35.5]\'',' pre-HS',' Married',' Female',' <=50K'
'\'(29.5-35.5]\'',' Higher Education',' Married',' Male',' >50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' >50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(35.5-43.5]\'',' Higher Education',' Seperated or Widowed',' Female',' <=50K'
'\'(43.5-54.5]\'',' pre-HS',' Seperated or Widowed',' Female',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(-inf-21.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' pre-HS',' Married',' Female',' <=50K'
'\'(29.5-35.5]\'',' College',' Married',' Female',' >50K'
'\'(29.5-35.5]\'',' College',' Married',' Female',' <=50K'
'\'(35.5-43.5]\'',' Higher Education',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(54.5-61.5]\'',' College',' Seperated or Widowed',' Male',' >50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(43.5-54.5]\'',' Higher Education',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(27.5-29.5]\'',' pre-HS',' Married',' Male',' <=50K'
'\'(43.5-54.5]\'',' pre-HS',' Married',' Female',' <=50K'
'\'(43.5-54.5]\'',' Higher Education',' Seperated or Widowed',' Female',' <=50K'
'\'(35.5-43.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' College',' Seperated or Widowed',' Male',' >50K'
'\'(27.5-29.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(-inf-21.5]\'',' pre-HS',' Never-married',' Female',' <=50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(23.5-27.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(-inf-21.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(29.5-35.5]\'',' Higher Education',' Never-married',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(29.5-35.5]\'',' pre-HS',' Married',' Male',' <=50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(35.5-43.5]\'',' pre-HS',' Married',' Male',' <=50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' >50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' >50K'
'\'(43.5-54.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(29.5-35.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(54.5-61.5]\'',' College',' Married',' Male',' >50K'
'\'(27.5-29.5]\'',' College',' Married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' >50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Female',' >50K'
'\'(29.5-35.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(21.5-23.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' <=50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(-inf-21.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(23.5-27.5]\'',' College',' Married',' Male',' <=50K'
'\'(35.5-43.5]\'',' Higher Education',' Married',' Female',' >50K'
'\'(27.5-29.5]\'',' College',' Married',' Male',' >50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(21.5-23.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(-inf-21.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' pre-HS',' Married',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(-inf-21.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(29.5-35.5]\'',' College',' Married',' Male',' >50K'
'\'(-inf-21.5]\'',' pre-HS',' Never-married',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Married',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(35.5-43.5]\'',' College',' Seperated or Widowed',' Female',' <=50K'
'\'(43.5-54.5]\'',' College',' Married',' Male',' <=50K'
'\'(43.5-54.5]\'',' College',' Seperated or Widowed',' Female',' >50K'
'\'(54.5-61.5]\'',' College',' Seperated or Widowed',' Male',' <=50K'
'\'(23.5-27.5]\'',' College',' Never-married',' Female',' <=50K'
'\'(35.5-43.5]\'',' Higher Education',' Married',' Male',' >50K'
